2485.TW 兆赫 現價:23.30
2486.TW 一詮 現價:48.35
2488.TW 漢平 現價:40.10
2489.TW 瑞軒 現價:11.80
2491.TW 吉祥全 現價:13.95
2492.TW 華新科 現價:123.5
2493.TW 揚博 現價:72.5
2495.TW 普安 現價:19.20
2496.TW 卓越 現價:54.8
2497.TW 怡利電 現價:65.7
2498.TW 宏達電 現價:48.10
2501.TW 國建 現價:15.45
2504.TW 國產 現價:25.70
2505.TW 國揚 現價:18.40
2506.TW 太設 現價:9.08
2509.TW 全坤建 現價:15.40
2511.TW 太子 現價:10.80
2514.TW 龍邦 現價:15.75
2515.TW 中工 現價:11.80
2516.TW 新建 現價:9.14
2520.TW 冠德 現價:35.05
2524.TW 京城 現價:31.00
2527.TW 宏璟 現價:23.35
2528.TW 皇普 現價:27.50
2530.TW 華建 現價:27.25
2534.TW 宏盛 現價:18.65
2535.TW 達欣工 現價:39.70
2536.TW 宏普 現價:27.95
2537.TW 聯上發 現價:8.06
2538.TW 基泰 現價:15.10
2539.TW 櫻花建 現價:44.70
2540.TW 愛山林 現價:79.8
2542.TW 興富發 現價:40.70
2543.TW 皇昌 現價:20.55
2545.TW 皇翔 現價:38.75
2546.TW 根基 現價:74.5
2547.TW 日勝生 現價:9.06
2548.TW 華固 現價:92.1
2596.TWO 綠意 現價:22.60
2597.TW 潤弘 現價:101.0
2601.TW 益航 現價:8.17
2603.TW 長榮 現價:109.0
2605.TW 新興 現價:21.70
2606.TW 裕民 現價:47.50
2607.TW 榮運 現價:30.80
2608.TW 嘉里大榮 現價:37.65
2609.TW 陽明 現價:42.30
2610.TW 華航 現價:21.45
2611.TW 志信 現價:12.60
2612.TW 中航 現價:40.10
2613.TW 中櫃 現價:20.05
2614.TW 東森 現價:22.50
2615.TW 萬海 現價:47.45
2616.TW 山隆 現價:30.45
2617.TW 台航 現價:28.70
2618.TW 長榮航 現價:30.10
2630.TW 亞航 現價:33.60
2633.TW 台灣高鐵 現價:30.15
2634.TW 漢翔 現價:51.6
2636.TW 台驊投控 現價:75.0
2637.TW 慧洋-KY 現價:43.40
2640.TWO 大車隊 現價:108.0
2641.TWO 正德 現價:16.25
2642.TW 宅配通 現價:39.95
2643.TWO 捷迅 現價:66.5
2645.TW 長榮航太 現價:100.0
2701.TW 萬企 現價:12.40
2702.TW 華園 現價:20.60
2704.TW 國賓 現價:49.50
2705.TW 六福 現價:17.50
2706.TW 第一店 現價:15.30
2707.TW 晶華 現價:215.0
2712.TW 遠雄來 現價:34.40
2718.TWO 晶悅 現價:48.35
2719.TWO 燦星旅 現價:69.6
2722.TW 夏都 現價:49.25
2723.TW 美食-KY 現價:102.5
2724.TWO 富驛-KY 現價:-
2726.TWO 雅茗-KY 現價:31.50
2727.TW 王品 現價:258.0
2729.TWO 瓦城 現價:246.5
2731.TW 雄獅 現價:137.0
2732.TWO 六角 現價:114.5
2734.TWO 易飛網 現價:44.50
2736.TWO 富野 現價:28.05
2739.TW 寒舍 現價:43.00
2740.TWO 天蔥 現價:-
2743.TWO 山富 現價:136.0
2745.TWO 五福 現價:77.5
2748.TW 雲品 現價:75.1
2752.TWO 豆府 現價:256.0
2753.TW 八方雲集 現價:173.5
2754.TWO 亞洲藏壽司 現價:131.5
2755.TWO 揚秦 現價:120.0
2756.TWO 聯發國際 現價:89.2
2801.TW 彰銀 現價:17.45
2809.TW 京城銀 現價:38.00
2812.TW 台中銀 現價:14.90
2816.TW 旺旺保 現價:39.30
2820.TW 華票 現價:14.40
2832.TW 台產 現價:25.05
2834.TW 臺企銀 現價:13.20
2836.TW 高雄銀 現價:11.80
2836A.TW 高雄銀甲特 現價:20.95
2838.TW 聯邦銀 現價:13.50
2838A.TW 聯邦銀甲特 現價:50.8
2845.TW 遠東銀 現價:11.80
2849.TW 安泰銀 現價:14.20
2850.TW 新產 現價:69.2
2851.TW 中再保 現價:23.00
2852.TW 第一保 現價:17.30
2855.TW 統一證 現價:18.00
2867.TW 三商壽 現價:5.09
2880.TW 華南金 現價:20.95
2881.TW 富邦金 現價:61.5
2881A.TW 富邦特 現價:61.2
2881B.TW 富邦金乙特 現價:60.0
2881C.TW 富邦金丙特 現價:54.8
2882.TW 國泰金 現價:45.35
2882A.TW 國泰特 現價:59.8
2882B.TW 國泰金乙特 現價:59.8
2883.TW 開發金 現價:11.65
2883B.TW 開發金乙特 現價:6.75
2884.TW 玉山金 現價:24.55
2885.TW 元大金 現價:24.90
2886.TW 兆豐金 現價:38.55
2887.TW 台新金 現價:17.85
2887E.TW 台新戊特 現價:50.7
2887F.TW 台新戊特二 現價:45.55
2887Z1.TW 台新己特 現價:16.65
2888.TW 新光金 現價:9.03
2888A.TW 新光金甲特 現價:29.20
2888B.TW 新光金乙特 現價:29.20
2889.TW 國票金 現價:11.65
2890.TW 永豐金 現價:18.45
2891.TW 中信金 現價:25.30
2891B.TW 中信金乙特 現價:58.9
2891C.TW 中信金丙特 現價:58.9
2892.TW 第一金 現價:26.90
2897.TW 王道銀行 現價:9.59
2897A.TW 王道銀甲特 現價:-
2901.TW 欣欣 現價:26.50
2903.TW 遠百 現價:24.15
2904.TW 匯僑 現價:18.95
2905.TW 三商 現價:13.10
2906.TW 高林 現價:16.55
2908.TW 特力 現價:20.20
2910.TW 統領 現價:27.85
2911.TW 麗嬰房 現價:6.60
2912.TW 統一超 現價:264.5
2913.TW 農林 現價:21.20
2915.TW 潤泰全 現價:58.7
2916.TWO 滿心 現價:47.60
2923.TW 鼎固-KY 現價:23.75
2924.TWO 宏太-KY 現價:-
2926.TWO 誠品生活 現價:66.7
2929.TW 淘帝-KY 現價:11.40
2937.TWO 集雅社 現價:-
2939.TW 凱羿-KY 現價:30.10
2945.TW 三商家購 現價:40.35
2947.TWO 振宇五金 現價:85.5
3002.TW 歐格 現價:13.10
3003.TW 健和興 現價:69.0
3004.TW 豐達科 現價:89.3
3005.TW 神基 現價:76.6
3006.TW 晶豪科 現價:93.5
3008.TW 大立光 現價:2135
3010.TW 華立 現價:97.5
3011.TW 今皓 現價:34.10
3013.TW 晟銘電 現價:44.30
3014.TW 聯陽 現價:165.0
3015.TW 全漢 現價:49.65
3016.TW 嘉晶 現價:60.6
3017.TW 奇鋐 現價:315.0
3018.TW 隆銘綠能 現價:7.38
3019.TW 亞光 現價:63.3
3021.TW 鴻名 現價:21.95
3022.TW 威強電 現價:75.2
3023.TW 信邦 現價:286.5
3024.TW 憶聲 現價:16.20
3025.TW 星通 現價:46.50
3026.TW 禾伸堂 現價:97.0
3027.TW 盛達 現價:37.10
3028.TW 增你強 現價:32.35
3029.TW 零壹 現價:64.3
3030.TW 德律 現價:60.0
3031.TW 佰鴻 現價:16.60
3032.TW 偉訓 現價:67.6
3033.TW 威健 現價:27.60
3034.TW 聯詠 現價:496.0
3035.TW 智原 現價:332.0
3036.TW 文曄 現價:135.0
3036A.TW 文曄甲特 現價:46.60
3037.TW 欣興 現價:158.0
3038.TW 全台 現價:29.95
3040.TW 遠見 現價:29.75
3041.TW 揚智 現價:25.25
3042.TW 晶技 現價:98.3
3043.TW 科風 現價:36.35
3044.TW 健鼎 現價:180.5
3045.TW 台灣大 現價:97.7
3046.TW 建碁 現價:65.3
